figure1,corrAns,n,stim_resp.corr_mean,stim_resp.corr_raw,stim_resp.corr_std,stim_resp.keys_raw,stim_resp.rt_mean,stim_resp.rt_raw,stim_resp.rt_std,order
89.BMP,a,1.0,1.0,1.0,0.0,'a',8.663004875183105,8.663004875183105,0.0,0.0
73.BMP,b,1.0,1.0,1.0,0.0,'b',6.234185218811035,6.234185218811035,0.0,1.0
131.bmp,a,1.0,1.0,1.0,0.0,'a',13.89374446868896,13.89374446868896,0.0,2.0
46.BMP,a,1.0,1.0,1.0,0.0,'a',23.55974960327148,23.55974960327148,0.0,3.0
209.bmp,b,1.0,1.0,1.0,0.0,'b',16.66512107849121,16.66512107849121,0.0,4.0
321.bmp,a,1.0,1.0,1.0,0.0,'a',24.51449203491211,24.51449203491211,0.0,5.0
49.BMP,a,1.0,1.0,1.0,0.0,'a',19.70632171630859,19.70632171630859,0.0,6.0
1.BMP,a,1.0,1.0,1.0,0.0,'a',20.2332820892334,20.2332820892334,0.0,7.0
97.jpg,b,1.0,1.0,1.0,0.0,'b',19.18996238708496,19.18996238708496,0.0,8.0
3.BMP,a,1.0,1.0,1.0,0.0,'a',32.5734748840332,32.5734748840332,0.0,9.0
147.bmp,a,1.0,1.0,1.0,0.0,'a',44.31186676025391,44.31186676025391,0.0,10.0
208.bmp,a,1.0,1.0,1.0,0.0,'a',27.55822563171387,27.55822563171387,0.0,11.0
38.BMP,b,1.0,1.0,1.0,0.0,'b',15.99851512908936,15.99851512908936,0.0,12.0
93.jpg,a,1.0,1.0,1.0,0.0,'a',13.47007751464844,13.47007751464844,0.0,13.0
42.BMP,a,1.0,1.0,1.0,0.0,'a',30.30507278442383,30.30507278442383,0.0,14.0
11.BMP,b,1.0,1.0,1.0,0.0,'b',16.30656051635742,16.30656051635742,0.0,15.0
127.bmp,b,1.0,1.0,1.0,0.0,'b',32.30023193359375,32.30023193359375,0.0,16.0
213.bmp,b,1.0,1.0,1.0,0.0,'b',19.8262996673584,19.8262996673584,0.0,17.0
126.bmp,a,1.0,1.0,1.0,0.0,'a',17.71474456787109,17.71474456787109,0.0,18.0
76.BMP,b,1.0,1.0,1.0,0.0,'b',8.306760787963867,8.306760787963867,0.0,19.0
60.BMP,a,1.0,1.0,1.0,0.0,'a',9.87066650390625,9.87066650390625,0.0,20.0
118.jpg,a,1.0,0.0,0.0,0.0,'b',53.44276428222656,53.44276428222656,0.0,21.0
101.jpg,b,1.0,1.0,1.0,0.0,'b',24.41024208068848,24.41024208068848,0.0,22.0
133.bmp,a,1.0,1.0,1.0,0.0,'a',20.61463165283203,20.61463165283203,0.0,23.0
59.BMP,b,1.0,1.0,1.0,0.0,'b',22.59569931030273,22.59569931030273,0.0,24.0
206.bmp,b,1.0,1.0,1.0,0.0,'b',13.86100292205811,13.86100292205811,0.0,25.0
113.jpg,b,1.0,1.0,1.0,0.0,'b',61.17299270629883,61.17299270629883,0.0,26.0
105.jpg,b,1.0,1.0,1.0,0.0,'b',30.02456855773926,30.02456855773926,0.0,27.0
306.bmp,b,1.0,1.0,1.0,0.0,'b',25.04777717590332,25.04777717590332,0.0,28.0
9.BMP,a,1.0,1.0,1.0,0.0,'a',47.44900894165039,47.44900894165039,0.0,29.0
83.BMP,a,1.0,1.0,1.0,0.0,'a',6.197784423828125,6.197784423828125,0.0,30.0
303.bmp,a,1.0,1.0,1.0,0.0,'a',14.12522220611572,14.12522220611572,0.0,31.0
128.bmp,b,1.0,1.0,1.0,0.0,'b',35.58343505859375,35.58343505859375,0.0,32.0
56.BMP,b,1.0,1.0,1.0,0.0,'b',17.3034725189209,17.3034725189209,0.0,33.0
324.bmp,b,1.0,1.0,1.0,0.0,'b',46.11016464233398,46.11016464233398,0.0,34.0
140.bmp,a,1.0,0.0,0.0,0.0,'b',25.77402114868164,25.77402114868164,0.0,35.0
137.bmp,b,1.0,1.0,1.0,0.0,'b',34.54705810546875,34.54705810546875,0.0,36.0
82.BMP,a,1.0,1.0,1.0,0.0,'a',8.637333869934082,8.637333869934082,0.0,37.0
4.BMP,a,1.0,1.0,1.0,0.0,'a',30.74617576599121,30.74617576599121,0.0,38.0
66.BMP,b,1.0,1.0,1.0,0.0,'b',9.081704139709473,9.081704139709473,0.0,39.0
23.BMP,a,1.0,1.0,1.0,0.0,'a',17.30809593200684,17.30809593200684,0.0,40.0
315.bmp,b,1.0,1.0,1.0,0.0,'b',34.46615219116211,34.46615219116211,0.0,41.0
13.BMP,b,1.0,1.0,1.0,0.0,'b',18.24568176269531,18.24568176269531,0.0,42.0
120.jpg,b,1.0,1.0,1.0,0.0,'b',33.381103515625,33.381103515625,0.0,43.0
99.jpg,b,1.0,1.0,1.0,0.0,'b',26.85015106201172,26.85015106201172,0.0,44.0
330.bmp,a,1.0,1.0,1.0,0.0,'a',71.34661865234375,71.34661865234375,0.0,45.0
72.BMP,b,1.0,1.0,1.0,0.0,'b',17.00432395935059,17.00432395935059,0.0,46.0
