ID,treatment,version,problemNumber,problem,problemType,responseTime,accuracy,sessionNo,mrDifficulty,changeMrDifficulty,programDifficulty,changeProgramDifficulty,age,gender,race,occupation,yearsProgramming,numPL
p32420,A,version1,48,205.bmp,ARRAY,9.205109596252441,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,50,6.BMP,ARRAY,5.005046367645264,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,18,24.BMP,ARRAY,2.689129590988159,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,38,10.BMP,ARRAY,4.440006732940674,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,33,201.bmp,ARRAY,11.836844444274902,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,14,15.BMP,ARRAY,40.00696563720703,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,25,19.BMP,ARRAY,16.43445587158203,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,10,27.BMP,ARRAY,22.518104553222656,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,7,7.BMP,ARRAY,9.66189956665039,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,23,25.BMP,ARRAY,5.272226333618164,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,51,18.BMP,ARRAY,32.8306884765625,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,17,212.bmp,TREE,12.454676628112793,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,27,210.bmp,TREE,5.963423728942871,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,49,45.BMP,TREE,12.668570518493652,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,41,52.BMP,TREE,10.43429946899414,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,28,55.BMP,TREE,31.25153160095215,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,24,214.bmp,TREE,19.668838500976562,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,32,32.BMP,TREE,12.200794219970703,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,19,34.BMP,TREE,17.26380157470703,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,61,47.BMP,TREE,36.07231903076172,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,44,31.BMP,TREE,12.64087200164795,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,22,102.jpg,MENTAL,12.770779609680176,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,26,63.BMP,MENTAL,4.239006519317627,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,40,80.BMP,MENTAL,4.096312046051025,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,12,104.jpg,MENTAL,12.170835494995117,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,9,100.jpg,MENTAL,7.117458343505859,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,6,85.BMP,MENTAL,11.332697868347168,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,57,90.BMP,MENTAL,4.985760688781738,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,58,95.jpg,MENTAL,10.21860408782959,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,52,69.BMP,MENTAL,3.9028778076171875,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,36,81.BMP,MENTAL,4.1346964836120605,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,45,67.BMP,MENTAL,3.0689501762390137,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,35,87.BMP,MENTAL,6.10613489151001,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,20,74.BMP,MENTAL,7.328745365142822,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,4,70.BMP,MENTAL,7.8870368003845215,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,46,103.jpg,MENTAL,10.260416984558105,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,43,107.jpg,MENTAL,11.580202102661133,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,54,92.jpg,MENTAL,18.385906219482422,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,13,94.jpg,MENTAL,11.806015014648438,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,60,75.BMP,MENTAL,17.662086486816406,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,2,142.bmp,CODING,34.6742057800293,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,47,144.bmp,CODING,81.23103332519531,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,37,122.bmp,CODING,8.138142585754395,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,21,121.bmp,CODING,6.556184768676758,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,34,134.bmp,CODING,10.569787979125977,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,11,123.bmp,CODING,15.701676368713379,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,31,139.bmp,CODING,27.019052505493164,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,53,148.bmp,CODING,6.018039226531982,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,8,125.bmp,CODING,27.78195571899414,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,56,124.bmp,CODING,10.995211601257324,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,59,301.bmp,TREE,30.628246307373047,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,5,304.bmp,TREE,9.6591215133667,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,39,307.bmp,TREE,32.32488250732422,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,30,310.bmp,TREE,24.007593154907227,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,16,316.bmp,CODING,33.42580032348633,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,42,319.bmp,TREE,32.28944396972656,1,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
p32420,A,version1,15,322.bmp,TREE,9.782279014587402,0,,,,,,27,Female,Asian,Part-time or full-tume job that does not involve programming,3,2
