StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q59,Q60,Q1,Q2,Q3,Q3_4_TEXT,Q4,Q5,Q6,Q7,Q12,Q13,Q8,Q10,Q11,Q14,Q15,Q21,Q22,Q22_1_TEXT
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,"Consent to Fill Out Safety Screening and Demographic Questions: By checking this checkbox, you are agreeing to complete the online pre-screening portion of this study. (Consent for the MRI and TMS portions will occur at the beginning of your first in-person study). Make sure you understand what the study is about before you sign. We will give you a copy of this document for your records and we will keep a copy with the study records. If you have any questions about the study after you sign this document, you can contact the study team using the information in Section 9 of the provided consent form.



I understand what the study is about and my questions so far have been answered. I agree to complete the online safety pre-screening portion.",Date of check (mm/dd/yy):,Participant ID (the study staff will let you know what this is):,Age in years:,Gender Identity: - Selected Choice,Gender Identity: - Different Identity. Please identify here: - Text,Sex:,Are you Hispanic or Latino/Latina?,Please mark which one(s) best describes you:,Please mark which one(s) best describes you:,What is your current occupation(s)?,"If you are currently a student, what is your current major?",How many years of programming experience do you have?,What programming languages do you know?,Have you taken a spatial reasoning course or test before?,"Have you ever worked at a job that involves programming? If so, for how long?",Have you taken and completed any of the following courses at <elided_for_review>?,Is this your first MRI?,Have you experienced any problem related to a previous MRI examination or MR procedure? - Selected Choice,Have you experienced any problem related to a previous MRI examination or MR procedure? - Yes (please describe) - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_1_TEXT""}"
2023-03-20 10:39:08,2023-03-20 10:39:22,100,14,TRUE,2023-03-20 10:39:22,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2023-03-21 08:11:35,2023-03-21 08:12:06,100,30,TRUE,2023-03-21 08:12:07,preview,EN,,,,,,,,,,,,,,,,,,,,
2023-03-22 09:51:30,2023-03-22 09:56:11,100,281,TRUE,2023-03-22 09:56:11,anonymous,EN,,,WH,22,Woman,,Female,No,,Asian,Computing Student (graduate),Computer Science,5,"C++, Python, JavaScript, C",No,"Yes, 3 months",<elided_for_review>,Yes,,
2023-03-26 15:35:11,2023-03-26 15:42:44,100,453,TRUE,2023-03-26 15:42:45,anonymous,EN,"I Consent to participate in this research study, including audio and video",03/26/2023,2,27,Woman,,Female,No,,Asian,Full-time job that involves programming,,8,"Java, python, JavaScript, C/C++",No,4,<elided_for_review>,Yes,No,
2023-03-28 02:27:56,2023-03-28 02:52:03,100,1446,TRUE,2023-03-28 02:52:04,anonymous,EN,"I Consent to participate in this research study, including audio and video",3/28/23,,21,Woman,,Female,No,,White,Computing Student (undergraduate),Computer Science/Sociology (Double Major),~2,"C++, some JS, some Python, some C",No,"Yes, but very, very minimal coding (1 year)",<elided_for_review>,Yes,No,
2023-03-21 06:12:38,2023-03-21 06:12:56,93,18,FALSE,2023-03-28 06:12:57,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2023-03-28 17:11:27,2023-03-28 17:14:22,100,174,TRUE,2023-03-28 17:14:22,anonymous,EN,"I Consent to participate in this research study, including audio and video",03/28/23,,20,Man,,Male,,,,Computing Student (undergraduate),Computer Science,5,"C++, Java, Python, C++,",No,"Yes, 3 months",<elided_for_review>,No,No,
2023-03-29 11:29:53,2023-03-29 11:34:59,100,305,TRUE,2023-03-29 11:34:59,anonymous,EN,"I Consent to participate in this research study, including audio and video",03/29/23,302,21,Man,,Male,No,,White,Computing Student (graduate),Computer Science and Engineering,6,"Python, Java, C & C++, JavaScript, HTML + CSS, Swift",No,"Yes, internship for 3 months.",<elided_for_review>,No,No,
