id,condition,question,actual_response,correct,correct_response,domain,response_time,session_num,original_stimulus,test_version,mr_difficulty,programming_difficulty,has_survey,is_mr,is_programming,adjusted_stimulus
00071,m1,0,a,True,a,list/array,11.120932579040527,0,4,3,2,3,True,False,True,4
00071,m1,1,b,True,b,code,13.503331184387209,0,127,3,2,3,True,False,True,152
00071,m1,2,b,True,b,code,9.705926895141602,0,140,3,2,3,True,False,True,165
00071,m1,3,a,True,a,code,6.805620670318604,0,126,3,2,3,True,False,True,151
00071,m1,4,b,True,b,tree,11.838851928710938,0,59,3,2,3,True,False,True,60
00071,m1,5,a,True,a,tree,11.343013763427734,0,60,3,2,3,True,False,True,61
00071,m1,6,a,True,a,tree,13.10716152191162,0,46,3,2,3,True,False,True,49
00071,m1,7,a,True,a,PSVT:R II,8.581013679504395,0,93,3,2,3,True,True,False,118
00071,m1,8,b,True,b,shepard-metzler,3.433160781860352,0,72,3,2,3,True,True,False,99
00071,m1,9,b,True,b,PSVT:R II,14.947545051574709,0,118,3,2,3,True,True,False,143
00071,m1,10,b,True,b,shepard-metzler,2.903515100479126,0,66,3,2,3,True,True,False,93
00071,m1,11,b,True,b,PSVT:R II,5.221020698547363,0,99,3,2,3,True,True,False,124
00071,m1,12,b,True,b,tree,12.924290657043455,0,54,3,2,3,True,False,True,56
00071,m1,13,b,True,b,shepard-metzler,5.141093254089356,0,76,3,2,3,True,True,False,103
00071,m1,14,a,False,b,list/array,17.469989776611328,0,206,3,2,3,True,False,True,30
00071,m1,15,a,True,a,shepard-metzler,3.956029891967773,0,89,3,2,3,True,True,False,114
00071,m1,16,a,True,a,code,14.3665132522583,0,133,3,2,3,True,False,True,158
00071,m1,17,a,True,a,list/array,11.236489295959473,0,9,3,2,3,True,False,True,8
00071,m1,18,b,True,b,tree,10.150822639465332,0,33,3,2,3,True,False,True,38
00071,m1,19,b,True,b,list/array,19.133655548095703,0,16,3,2,3,True,False,True,14
