formula,AIC,BIC
log(response_time) ~ (1|id),1919.175012,1933.375218
log(response_time) ~ (1|stimulus),1566.552359,1580.752565
log(response_time) ~ (1|id:domain),1491.696072,1505.896277
log(response_time) ~ (1|id:condition),1919.257725,1933.457931
log(response_time) ~ (1|stimulus:condition),1703.989361,1718.189566
log(response_time) ~ (1|id:domain:condition),1561.732809,1575.933015
log(response_time) ~ (1|id) + (1|stimulus),1463.934622,1482.868230
log(response_time) ~ (1|id) + (1|id:domain),1493.696072,1512.629679
log(response_time) ~ (1|id) + (1|id:condition),1914.748230,1933.681837
log(response_time) ~ (1|id) + (1|stimulus:condition),1612.943497,1631.877104
log(response_time) ~ (1|id) + (1|id:domain:condition),1563.732809,1582.666417
log(response_time) ~ (1|stimulus) + (1|id:domain),1383.619658,1402.553265
log(response_time) ~ (1|stimulus) + (1|id:condition),1468.520366,1487.453974
log(response_time) ~ (1|stimulus) + (1|stimulus:condition),1568.552359,1587.485967
log(response_time) ~ (1|stimulus) + (1|id:domain:condition),1422.717342,1441.650949
log(response_time) ~ (1|id:domain) + (1|id:condition),1482.118452,1501.052060
log(response_time) ~ (1|id:domain) + (1|stimulus:condition),1432.468361,1451.401968
log(response_time) ~ (1|id:domain) + (1|id:domain:condition),1483.790308,1502.723915
log(response_time) ~ (1|id:condition) + (1|stimulus:condition),1614.939747,1633.873354
log(response_time) ~ (1|id:condition) + (1|id:domain:condition),1563.732809,1582.666417
log(response_time) ~ (1|stimulus:condition) + (1|id:domain:condition),1491.964004,1510.897611
log(response_time) ~ (1|id) + (1|stimulus) + (1|id:domain),1385.619658,1409.286667
log(response_time) ~ (1|id) + (1|stimulus) + (1|id:condition),1455.681534,1479.348544
log(response_time) ~ (1|id) + (1|stimulus) + (1|stimulus:condition),1465.928690,1489.595700
log(response_time) ~ (1|id) + (1|stimulus) + (1|id:domain:condition),1411.679996,1435.347005
log(response_time) ~ (1|id) + (1|id:domain) + (1|id:condition),1484.118452,1507.785462
log(response_time) ~ (1|id) + (1|id:domain) + (1|stimulus:condition),1434.468361,1458.135371
log(response_time) ~ (1|id) + (1|id:domain) + (1|id:domain:condition),1485.790308,1509.457317
log(response_time) ~ (1|id) + (1|id:condition) + (1|stimulus:condition),1605.179562,1628.846571
log(response_time) ~ (1|id) + (1|id:condition) + (1|id:domain:condition),1565.732809,1589.399818
