formula,AIC,BIC
response_time ~ (1|id),6825.900354,6840.100560
response_time ~ (1|stimulus),6657.534980,6671.735185
response_time ~ (1|id:domain),6609.886024,6624.086230
response_time ~ (1|id:condition),6828.934154,6843.134360
response_time ~ (1|stimulus:condition),6757.653984,6771.854189
response_time ~ (1|id:domain:condition),6666.804423,6681.004629
response_time ~ (1|id) + (1|stimulus),6613.715006,6632.648614
response_time ~ (1|id) + (1|id:domain),6611.886024,6630.819631
response_time ~ (1|id) + (1|id:condition),6825.223712,6844.157319
response_time ~ (1|id) + (1|stimulus:condition),6713.136723,6732.070330
response_time ~ (1|id) + (1|id:domain:condition),6668.804423,6687.738031
response_time ~ (1|stimulus) + (1|id:domain),6546.756149,6565.689756
response_time ~ (1|stimulus) + (1|id:condition),6622.892326,6641.825934
response_time ~ (1|stimulus) + (1|stimulus:condition),6659.534980,6678.468587
response_time ~ (1|stimulus) + (1|id:domain:condition),6584.767589,6603.701196
response_time ~ (1|id:domain) + (1|id:condition),6610.199709,6629.133316
response_time ~ (1|id:domain) + (1|stimulus:condition),6587.783391,6606.716999
response_time ~ (1|id:domain) + (1|id:domain:condition),6610.121170,6629.054777
response_time ~ (1|id:condition) + (1|stimulus:condition),6721.264564,6740.198171
response_time ~ (1|id:condition) + (1|id:domain:condition),6668.804423,6687.738031
response_time ~ (1|stimulus:condition) + (1|id:domain:condition),6639.324484,6658.258092
response_time ~ (1|id) + (1|stimulus) + (1|id:domain),6548.756149,6572.423158
response_time ~ (1|id) + (1|stimulus) + (1|id:condition),6613.725729,6637.392739
response_time ~ (1|id) + (1|stimulus) + (1|stimulus:condition),6615.715006,6639.382016
response_time ~ (1|id) + (1|stimulus) + (1|id:domain:condition),6582.220231,6605.887241
response_time ~ (1|id) + (1|id:domain) + (1|id:condition),6612.199709,6635.866718
response_time ~ (1|id) + (1|id:domain) + (1|stimulus:condition),6589.783391,6613.450401
response_time ~ (1|id) + (1|id:domain) + (1|id:domain:condition),6612.121170,6635.788179
response_time ~ (1|id) + (1|id:condition) + (1|stimulus:condition),6713.167733,6736.834742
response_time ~ (1|id) + (1|id:condition) + (1|id:domain:condition),6670.804423,6694.471433
response_time ~ (1|id) + (1|stimulus:condition) + (1|id:domain:condition),6641.203675,6664.870685
response_time ~ (1|stimulus) + (1|id:domain) + (1|id:condition),6546.949959,6570.616969
response_time ~ (1|stimulus) + (1|id:domain) + (1|stimulus:condition),6548.756149,6572.423158
response_time ~ (1|stimulus) + (1|id:domain) + (1|id:domain:condition),6546.598030,6570.265039
response_time ~ (1|stimulus) + (1|id:condition) + (1|stimulus:condition),6624.892326,6648.559336
response_time ~ (1|stimulus) + (1|id:condition) + (1|id:domain:condition),6586.767589,6610.434598
response_time ~ (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),6586.767589,6610.434598
response_time ~ (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6588.053037,6611.720047
response_time ~ (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6611.910061,6635.577071
response_time ~ (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6587.350125,6611.017135
response_time ~ (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6641.324484,6664.991494
response_time ~ (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),6548.949960,6577.350371
response_time ~ (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),6550.756149,6579.156560
response_time ~ (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),6548.598030,6576.998441
response_time ~ (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),6615.725730,6644.126141
response_time ~ (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),6584.220232,6612.620643
response_time ~ (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),6584.220231,6612.620643
response_time ~ (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6590.053037,6618.453449
response_time ~ (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6613.910061,6642.310473
response_time ~ (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6589.350125,6617.750537
response_time ~ (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6643.203675,6671.604087
response_time ~ (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6548.949959,6577.350371
response_time ~ (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6548.455534,6576.855945
response_time ~ (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6548.598030,6576.998441
response_time ~ (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6588.767589,6617.168000
response_time ~ (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6589.285579,6617.685991
response_time ~ (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6550.949959,6584.083772
response_time ~ (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6550.455534,6583.589347
response_time ~ (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6550.598030,6583.731843
response_time ~ (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6586.220231,6619.354045
response_time ~ (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6591.285579,6624.419393
response_time ~ (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6550.455534,6583.589347
response_time ~ (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6552.455534,6590.322749
response_time ~ condition + (1|id),6827.835642,6851.502651
response_time ~ condition + (1|stimulus),6660.167423,6683.834433
response_time ~ condition + (1|id:domain),6611.003555,6634.670564
response_time ~ condition + (1|id:condition),6832.296678,6855.963687
response_time ~ condition + (1|stimulus:condition),6761.164122,6784.831132
response_time ~ condition + (1|id:domain:condition),6670.470578,6694.137587
response_time ~ condition + (1|id) + (1|stimulus),6615.685717,6644.086128
response_time ~ condition + (1|id) + (1|id:domain),6613.003555,6641.403966
response_time ~ condition + (1|id) + (1|id:condition),6827.880496,6856.280908
response_time ~ condition + (1|id) + (1|stimulus:condition),6716.477449,6744.877861
response_time ~ condition + (1|id) + (1|id:domain:condition),6672.470578,6700.870989
response_time ~ condition + (1|stimulus) + (1|id:domain),6548.312609,6576.713020
response_time ~ condition + (1|stimulus) + (1|id:condition),6626.438906,6654.839317
response_time ~ condition + (1|stimulus) + (1|stimulus:condition),6662.167423,6690.567835
response_time ~ condition + (1|stimulus) + (1|id:domain:condition),6588.271083,6616.671494
response_time ~ condition + (1|id:domain) + (1|id:condition),6612.025560,6640.425971
response_time ~ condition + (1|id:domain) + (1|stimulus:condition),6590.306798,6618.707209
response_time ~ condition + (1|id:domain) + (1|id:domain:condition),6611.795680,6640.196091
response_time ~ condition + (1|id:condition) + (1|stimulus:condition),6724.971655,6753.372066
response_time ~ condition + (1|id:condition) + (1|id:domain:condition),6672.470578,6700.870989
response_time ~ condition + (1|stimulus:condition) + (1|id:domain:condition),6643.013007,6671.413418
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain),6550.312609,6583.446422
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:condition),6616.316254,6649.450068
response_time ~ condition + (1|id) + (1|stimulus) + (1|stimulus:condition),6617.685718,6650.819531
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain:condition),6585.425727,6618.559541
response_time ~ condition + (1|id) + (1|id:domain) + (1|id:condition),6614.025560,6647.159373
response_time ~ condition + (1|id) + (1|id:domain) + (1|stimulus:condition),6592.306798,6625.440611
response_time ~ condition + (1|id) + (1|id:domain) + (1|id:domain:condition),6613.795680,6646.929493
response_time ~ condition + (1|id) + (1|id:condition) + (1|stimulus:condition),6716.601367,6749.735180
response_time ~ condition + (1|id) + (1|id:condition) + (1|id:domain:condition),6674.470578,6707.604391
response_time ~ condition + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),6644.867711,6678.001524
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition),6549.108226,6582.242039
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),6550.312609,6583.446422
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),6548.638817,6581.772630
response_time ~ condition + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),6628.438906,6661.572719
response_time ~ condition + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),6590.271083,6623.404896
response_time ~ condition + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),6590.271083,6623.404896
response_time ~ condition + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6590.798091,6623.931905
response_time ~ condition + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6613.727979,6646.861792
response_time ~ condition + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6590.061122,6623.194935
response_time ~ condition + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6645.013007,6678.146820
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),6551.108226,6588.975441
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),6552.312609,6590.179824
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),6550.638817,6588.506032
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),6618.316254,6656.183470
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),6587.425727,6625.292943
response_time ~ condition + (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),6587.425727,6625.292943
response_time ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6592.798091,6630.665306
response_time ~ condition + (1|id) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6615.727979,6653.595194
response_time ~ condition + (1|id) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6592.061122,6629.928337
response_time ~ condition + (1|id) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6646.867711,6684.734926
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6551.108226,6588.975441
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6550.594074,6588.461289
response_time ~ condition + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6550.638817,6588.506032
response_time ~ condition + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6592.271083,6630.138298
response_time ~ condition + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6592.025138,6629.892353
response_time ~ condition + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6553.108226,6595.708843
