formula,AIC,BIC
log(response_time) ~ (1|id),3719.996430,3736.616701
log(response_time) ~ (1|stimulus),3059.980551,3076.600822
log(response_time) ~ (1|id:domain),3663.261457,3679.881728
log(response_time) ~ (1|id:condition),3726.883696,3743.503967
log(response_time) ~ (1|stimulus:condition),3354.923167,3371.543438
log(response_time) ~ (1|id:domain:condition),3706.991250,3723.611521
log(response_time) ~ (1|id) + (1|stimulus),2718.994765,2741.155126
log(response_time) ~ (1|id) + (1|id:domain),3657.996449,3680.156810
log(response_time) ~ (1|id) + (1|id:condition),3708.733614,3730.893975
log(response_time) ~ (1|id) + (1|stimulus:condition),3036.875765,3059.036126
log(response_time) ~ (1|id) + (1|id:domain:condition),3669.474356,3691.634717
log(response_time) ~ (1|stimulus) + (1|id:domain),2675.628868,2697.789229
log(response_time) ~ (1|stimulus) + (1|id:condition),2682.427158,2704.587520
log(response_time) ~ (1|stimulus) + (1|stimulus:condition),3061.958115,3084.118477
log(response_time) ~ (1|stimulus) + (1|id:domain:condition),2694.278400,2716.438761
log(response_time) ~ (1|id:domain) + (1|id:condition),3648.158157,3670.318518
log(response_time) ~ (1|id:domain) + (1|stimulus:condition),3011.540125,3033.700486
log(response_time) ~ (1|id:domain) + (1|id:domain:condition),3656.824023,3678.984384
log(response_time) ~ (1|id:condition) + (1|stimulus:condition),3002.151383,3024.311744
log(response_time) ~ (1|id:condition) + (1|id:domain:condition),3690.147046,3712.307407
log(response_time) ~ (1|stimulus:condition) + (1|id:domain:condition),3025.590350,3047.750711
log(response_time) ~ (1|id) + (1|stimulus) + (1|id:domain),2661.147585,2688.848037
log(response_time) ~ (1|id) + (1|stimulus) + (1|id:condition),2664.667694,2692.368145
log(response_time) ~ (1|id) + (1|stimulus) + (1|stimulus:condition),2719.430486,2747.130938
log(response_time) ~ (1|id) + (1|stimulus) + (1|id:domain:condition),2632.260361,2659.960813
log(response_time) ~ (1|id) + (1|id:domain) + (1|id:condition),3644.816089,3672.516540
log(response_time) ~ (1|id) + (1|id:domain) + (1|stimulus:condition),2997.020489,3024.720941
log(response_time) ~ (1|id) + (1|id:domain) + (1|id:domain:condition),3651.550146,3679.250597
log(response_time) ~ (1|id) + (1|id:condition) + (1|stimulus:condition),2986.488879,3014.189330
log(response_time) ~ (1|id) + (1|id:condition) + (1|id:domain:condition),3671.474356,3699.174808
log(response_time) ~ (1|id) + (1|stimulus:condition) + (1|id:domain:condition),2969.152935,2996.853387
log(response_time) ~ (1|stimulus) + (1|id:domain) + (1|id:condition),2609.982238,2637.682690
log(response_time) ~ (1|stimulus) + (1|id:domain) + (1|stimulus:condition),2677.625219,2705.325671
log(response_time) ~ (1|stimulus) + (1|id:domain) + (1|id:domain:condition),2639.872765,2667.573216
log(response_time) ~ (1|stimulus) + (1|id:condition) + (1|stimulus:condition),2681.286982,2708.987434
log(response_time) ~ (1|stimulus) + (1|id:condition) + (1|id:domain:condition),2646.641693,2674.342144
log(response_time) ~ (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),2695.807864,2723.508316
log(response_time) ~ (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2949.659149,2977.359601
log(response_time) ~ (1|id:domain) + (1|id:condition) + (1|id:domain:condition),3650.133044,3677.833495
log(response_time) ~ (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),2977.774694,3005.475146
log(response_time) ~ (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),2980.056783,3007.757235
log(response_time) ~ (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition),2600.650297,2633.890838
log(response_time) ~ (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),2663.083644,2696.324186
log(response_time) ~ (1|id) + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),2625.459949,2658.700491
log(response_time) ~ (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),2663.609713,2696.850255
log(response_time) ~ (1|id) + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),2628.711924,2661.952466
log(response_time) ~ (1|id) + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),2633.606254,2666.846796
log(response_time) ~ (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),2941.885851,2975.126393
