formula,AIC,BIC
response_time ~ (1|id),16103.300471,16119.920742
response_time ~ (1|stimulus),15433.296306,15449.916577
response_time ~ (1|id:domain),16069.156172,16085.776443
response_time ~ (1|id:condition),16109.109904,16125.730175
response_time ~ (1|stimulus:condition),15715.532387,15732.152658
response_time ~ (1|id:domain:condition),16114.322505,16130.942776
response_time ~ (1|id) + (1|stimulus),15277.792256,15299.952617
response_time ~ (1|id) + (1|id:domain),16066.944352,16089.104713
response_time ~ (1|id) + (1|id:condition),16097.795353,16119.955715
response_time ~ (1|id) + (1|stimulus:condition),15574.197188,15596.357549
response_time ~ (1|id) + (1|id:domain:condition),16087.136229,16109.296591
response_time ~ (1|stimulus) + (1|id:domain),15260.624209,15282.784571
response_time ~ (1|stimulus) + (1|id:condition),15256.704656,15278.865017
response_time ~ (1|stimulus) + (1|stimulus:condition),15435.296306,15457.456667
response_time ~ (1|stimulus) + (1|id:domain:condition),15282.741668,15304.902029
response_time ~ (1|id:domain) + (1|id:condition),16061.110675,16083.271036
response_time ~ (1|id:domain) + (1|stimulus:condition),15565.140074,15587.300435
response_time ~ (1|id:domain) + (1|id:domain:condition),16070.659081,16092.819442
response_time ~ (1|id:condition) + (1|stimulus:condition),15552.772276,15574.932637
response_time ~ (1|id:condition) + (1|id:domain:condition),16101.041407,16123.201768
response_time ~ (1|stimulus:condition) + (1|id:domain:condition),15584.506820,15606.667182
response_time ~ (1|id) + (1|stimulus) + (1|id:domain),15250.696899,15278.397351
response_time ~ (1|id) + (1|stimulus) + (1|id:condition),15246.692239,15274.392691
response_time ~ (1|id) + (1|stimulus) + (1|stimulus:condition),15279.792258,15307.492709
response_time ~ (1|id) + (1|stimulus) + (1|id:domain:condition),15241.341677,15269.042128
response_time ~ (1|id) + (1|id:domain) + (1|id:condition),16060.452106,16088.152558
response_time ~ (1|id) + (1|id:domain) + (1|stimulus:condition),15555.762919,15583.463371
response_time ~ (1|id) + (1|id:domain) + (1|id:domain:condition),16068.444750,16096.145201
response_time ~ (1|id) + (1|id:condition) + (1|stimulus:condition),15544.276861,15571.977312
response_time ~ (1|id) + (1|id:condition) + (1|id:domain:condition),16088.957806,16116.658258
